m0/700/CCS 	14
m1/700/CCS 	58
m2/700/CCS 	20
m3/700/CCS 	2
m4/700/CCS 	0
m5/700/CCS 	8
m6/700/CCS 	82
m7/700/CCS 	27
m8/700/CCS 	0
m9/700/CCS 	56
m10/700/CCS 	20
m11/700/CCS 	18
m12/700/CCS 	0
m13/700/CCS 	3
m14/700/CCS 	76
m15/700/CCS 	27
m16/700/CCS 	59
m17/700/CCS 	12
m18/700/CCS 	7
m19/700/CCS 	3
m20/700/CCS 	2
m21/700/CCS 	1
m22/700/CCS 	23
m23/700/CCS 	15
m24/700/CCS 	14
m25/700/CCS 	78
m26/700/CCS 	87
m27/700/CCS 	11
m28/700/CCS 	10
m29/700/CCS 	60
m30/700/CCS 	4
m31/700/CCS 	0
m32/700/CCS 	5
m33/700/CCS 	0
m34/700/CCS 	9
m35/700/CCS 	0
m36/700/CCS 	7
m37/700/CCS 	40
m38/700/CCS 	43
m39/700/CCS 	27
m40/700/CCS 	19
m41/700/CCS 	23
m42/700/CCS 	7
m43/700/CCS 	0
m44/700/CCS 	1
m45/700/CCS 	17
m46/700/CCS 	9
m47/700/CCS 	55
m48/700/CCS 	6
m49/700/CCS 	1
m50/700/CCS 	22
m51/700/CCS 	0
m52/700/CCS 	16
m53/700/CCS 	48
m54/700/CCS 	0
m55/700/CCS 	19
m56/700/CCS 	0
m57/700/CCS 	15
m58/700/CCS 	17
m59/700/CCS 	3
m60/700/CCS 	38
m61/700/CCS 	28
m62/700/CCS 	6
m63/700/CCS 	44
m64/700/CCS 	9
m65/700/CCS 	3
m66/700/CCS 	47
m67/700/CCS 	9
m68/700/CCS 	1
m69/700/CCS 	31
m70/700/CCS 	14
m71/700/CCS 	0
m72/700/CCS 	10
m73/700/CCS 	3
m74/700/CCS 	33
m75/700/CCS 	52
m76/700/CCS 	70
m77/700/CCS 	52
m78/700/CCS 	14
m79/700/CCS 	1
m80/700/CCS 	72
m81/700/CCS 	22
m82/700/CCS 	46
m83/700/CCS 	50
m84/700/CCS 	0
m85/700/CCS 	30
m86/700/CCS 	6
m87/700/CCS 	22
m88/700/CCS 	8
m89/700/CCS 	7
m90/700/CCS 	11
m91/700/CCS 	1
m92/700/CCS 	14
m93/700/CCS 	7
m94/700/CCS 	8
m95/700/CCS 	12
m96/700/CCS 	9
m97/700/CCS 	4
m98/700/CCS 	3
m99/700/CCS 	34
m100/700/CCS 	0
m101/700/CCS 	10
m102/700/CCS 	30
m103/700/CCS 	6
m104/700/CCS 	1
m105/700/CCS 	2
m106/700/CCS 	6
m107/700/CCS 	11
m108/700/CCS 	35
m109/700/CCS 	18
m110/700/CCS 	7
m111/700/CCS 	8
